#dtstart,2019-07-30 15:40:19.753
Time,VOLT,Event
0.204,0.323201,,
0.204,0.323201,,
0.204,0.325032,,
0.205,0.328694,,
0.205,0.326863,,
0.206,0.323201,,
0.206,0.319539,,
0.206,0.317707,,
0.207,0.317707,,
0.207,0.317707,,
0.208,0.317707,,
0.208,0.317707,,
0.208,0.312214,,
0.209,0.30672,,
0.209,0.303058,,
0.210,0.301227,,
0.210,0.304889,,
0.210,0.308552,,
0.211,0.308552,,
0.211,0.303058,,
0.212,0.299396,,
0.212,0.301227,,
0.212,0.303058,,
0.213,0.299396,,
0.213,0.292071,,
0.214,0.292071,,
0.214,0.295733,,
0.214,0.303058,,
0.215,0.308552,,
0.215,0.310383,,
0.216,0.310383,,
0.216,0.312214,,
0.216,0.315876,,
0.217,0.317707,,
0.217,0.315876,,
0.218,0.315876,,
0.218,0.319539,,
0.218,0.328694,,
0.219,0.33785,,
0.219,0.339681,,
0.220,0.334188,,
0.220,0.328694,,
0.220,0.326863,,
0.221,0.328694,,
0.221,0.328694,,
0.222,0.323201,,
0.222,0.319539,,
0.222,0.319539,,
0.223,0.323201,,
0.223,0.319539,,
0.224,0.312214,,
0.224,0.308552,,
0.224,0.303058,,
0.225,0.297565,,
0.225,0.295733,,
0.226,0.295733,,
0.226,0.295733,,
0.226,0.29024,,
0.227,0.288409,,
0.227,0.292071,,
0.228,0.299396,,
0.228,0.303058,,
0.228,0.30672,,
0.229,0.310383,,
0.229,0.315876,,
0.230,0.32137,,
0.230,0.323201,,
0.230,0.323201,,
0.231,0.326863,,
0.231,0.332357,,
0.232,0.332357,,
0.232,0.332357,,
0.232,0.33785,,
0.233,0.339681,,
0.233,0.341513,,
0.234,0.347006,,
0.234,0.3525,,
0.234,0.3525,,
0.235,0.3525,,
0.235,0.3525,,
0.236,0.348837,,
0.236,0.347006,,
0.236,0.3525,,
0.237,0.354331,,
0.237,0.348837,,
0.238,0.339681,,
0.238,0.328694,,
0.238,0.315876,,
0.239,0.301227,,
0.239,0.29024,,
0.240,0.277422,,
0.240,0.262772,,
0.240,0.248123,,
0.241,0.237136,,
0.241,0.22798,,
0.242,0.218824,,
0.242,0.215162,,
0.242,0.213331,,
0.243,0.215162,,
0.243,0.218824,,
0.244,0.22798,,
0.244,0.238967,,
0.244,0.249954,,
0.245,0.264604,,
0.245,0.284746,,
0.246,0.303058,,
0.246,0.315876,,
0.246,0.332357,5,
0.247,0.354331,,
0.247,0.374474,,
0.248,0.390954,,
0.248,0.403772,,
0.248,0.411097,,
0.249,0.420253,,
0.249,0.425746,,
0.250,0.427577,,
0.250,0.429409,,
0.250,0.429409,,
0.251,0.429409,,
0.251,0.43124,,
0.252,0.43124,,
0.252,0.427577,,
0.252,0.423915,,
0.253,0.420253,,
0.253,0.420253,,
0.254,0.420253,,
0.254,0.41659,,
0.254,0.411097,,
0.255,0.407435,,
0.255,0.407435,,
0.256,0.403772,,
0.256,0.398279,,
0.256,0.390954,,
0.257,0.379967,,
0.257,0.365318,,
0.258,0.350668,,
0.258,0.334188,,
0.258,0.32137,,
0.259,0.30672,,
0.259,0.288409,,
0.260,0.262772,,
0.260,0.24263,,
0.260,0.222487,,
0.261,0.198682,,
0.261,0.174876,,
0.262,0.158396,,
0.262,0.141915,,
0.262,0.127266,,
0.263,0.112617,,
0.263,0.096136,,
0.264,0.08698,,
0.264,0.083318,,
0.264,0.079656,,
0.265,0.077825,,
0.265,0.081487,,
0.266,0.090643,,
0.266,0.105292,,
0.266,0.119941,,
0.267,0.138253,,
0.267,0.160227,,
0.268,0.185863,,
0.268,0.213331,,
0.268,0.244461,,
0.269,0.277422,,
